"","20190107_08_T05F_env","20190107_20_T08F_env","20190111_30_T03F_env","20190111_36_T01F_env","20190114_58_T02F_env","20190114_62_T07F_env","20190117_70_T04F_env","20190117_74_T06F_env","160618_SM_A47RW_38","160829_SM_9ZE92_260","160909_SM_9HYY2_282","160914_SM_6ZT44_382","160915_SM_9ZJIM_292","160921_SM_7ED8Q_459","160923_SM_6WVAO_405","160923_SM_7B7LL_404","160925_SM_7FK6O_412","161012_SM_7CP8G_523","161012_SM_7I21H_613","20190107_06_S08F_env","20190107_12_S06F_env","20190107_14_S04F_env","20190111_32_S05F_env","20190111_34_S11F_env","20190111_40_S03F_env","20190114_56_S02F_env","20190117_72_S09F_env","20190117_80_S07F_env","20190117_86_S10F_env","P18a_CD","P19_CD","P20_CD","P21_CD","P22_CD","P23_CD","P24_CD","P25_CD","P26_CD","P27_CD","P28_CD_IBS","P30_UCr","P31_UCr","P32_Ucr","P33_Ucr","P34_UCr","P35_UCa","P37_UCa","P38_UCa","P39_UCa","P40_UCa","P41_UCa","P42_UCa","UC1","UC11","UC15","UC2","UC23F","UC4","UC5","UC6","UC8","UC9","P02_C","P03_C","P04_C","P05_C","P06a_C","P07a_C","P08_C","P10_C","P13_C","P14_C","P15_C","P16_C","P17_C","Seq85784","Seq85785","Seq85789","Seq86293","Seq86296","Seq86298","Seq86299","Seq86304","Seq86305","Seq86307","Seq86315","Seq86317","H1","H2","H3","H4","H5","H6","H7","H8","160524_SM_A8GT9_17","160618_SM_A77V5_63","160622_SM_7LLEE_121","160624_SM_7DN4P_142","160825_SM_7I1HW_216","160825_SM_7I21P_220","160829_SM_76CCD_221","160831_SM_9HL6A_274","160909_SM_61N7X_343","160909_SM_63ZAL_344","160909_SM_689VN_335","160909_SM_6AXJS_330","160909_SM_9U279_298","160911_SM_61NJD_346","160911_SM_65GXO_340","160912_SM_5QVZJ_354","160914_SM_5ZNHU_329","160915_SM_61U3X_352","160916_SM_62ART_337","160916_SM_689O9_342","160916_SM_6KUDE_363","160916_SM_71T49_392","160916_SM_71T4H_391","160919_SM_6J3OJ_351","160920_SM_6XRKK_454","160921_SM_6ZEWI_414","160921_SM_7GCI5_446","160923_SM_6XTTJ_427","160923_SM_71T47_393","160928_SM_7BCZJ_397","160930_SM_6SSN7_440","160930_SM_71T3Q_395","161004_SM_9W3AR_549","161011_SM_5QVZH_531","161011_SM_9KOQA_562","161017_SM_69UN3_535","161017_SM_7LSOC_583"
"1",0.000724662359579391,0.000277095481417453,0.00154457061360736,0.000687602597501681,0.00180619326730083,0.00087867799008558,0.00198008602374399,0.00120003902614361,0.00510556752430841,0.0033531522742765,0.00426728574565171,0.00338480423200187,0.00399288596399459,0.00108811108876381,0.000607273815410914,0.00681451386049689,0.00309232754925824,0.00450072873100906,0.00869270385991086,0.00133973747519417,0.00155911265402876,0.00545925744862468,0.0024246915652066,0.000878541915137999,0.00480218140438062,0.000561176148954521,0.00237429291839551,0.00797273522470744,0.00587270119617708,0.000667580966607881,0.00686035999323202,0.000294404475465551,0.00662368163747258,0.0053448946605902,0.00221186684647995,0.0179625379298379,0.00416041817939212,0.00146558748285914,0.00253416461061087,0.00649285800075492,0.00236422023652079,0.000239238049223242,0.0028735024368738,0.00201030647201005,0.00325555083277222,0.000238614045747565,0.000216310217278999,0.000554997911953632,0.00259334071350505,0.000406266325005705,0.00418698866684734,0.00146967987550336,0.00499999075613563,4.20430765308741e-05,0.00138308379085983,0.000385100028726673,0.00143910715745036,0.00339737646888012,0.0045359598650171,0.00422916175239399,0.00475550823482723,0.00104657795729639,0.00668793858493453,0.00904866692032042,0.00593999383984866,0.00319759202203025,0.00303253704789078,0.00253885452168951,0.00416028167329233,0.0050828053209866,0.00201199462926464,0.000774355017650629,0.00247791032486581,0.00179910602924107,0.000445785603851005,0.00069420349218551,0.000509506298704419,0.00119915579603649,0.00356477948991984,0.00162896992393946,0.000578722918230878,0.00196844494998405,0.00184350986474094,0.00600620655192911,0.00120411697265075,0.0026532143601657,0.00183335395688485,0.00637680939356121,0.00305919253331689,0.00139053192867621,0.00119640405101928,0.00508516575441177,0.00180725148284615,0.00251645138847934,0.0026653440122352,0.00204856856164758,0.0029135554814051,0.000809399151744696,0.00177066166073894,0.00461055750523935,0.00325160337063991,0.00513919321156082,0.00115911842403505,0.000274613773431654,0.000789335856549659,0.00179081183264592,0.00175334942622526,0.00255048669209675,0.00431490677545642,0.000891707204395874,0.000916299894722811,0.00161090376804115,0.00149960450274024,0.000872578138585561,0.00267541158743521,0.00568820162803167,0.0017510935440432,0.000200138312446021,0.00315724025960822,0.000143772861038124,0.000878908448060091,0.00317591840198601,0.000180749703335733,0.00025278577174956,0.00742070416974302,0.00597929203583475,0.000516907844472388,0.0028730096629761,0.000641607053890988,0.00295437040464708,0.00190495176439882,0.000313885406470379
"2",0.00121380874148891,0.00167856505616946,0.00256259035126048,0.00102107300694251,0.00164482441345488,0.00239532799915014,0.00190074562092673,0.00230334096484179,0.00277821344809763,0.00067781085592712,0.000315328038481066,0.00325462865516206,0.00123965301286832,0.00245258814917863,0,0.00178073239342394,0.00304143170038866,0.00209646931862404,0.00132251057477985,0.00125875474793094,0.000614615954673722,0.000528008525750751,0.00195371705879907,0.000700678119878499,0.00233636435435831,0.000476822498391391,0.000132322863100147,0.000409401601744105,0.00213287841902208,0.00126702356767031,0.00164082524593917,0.000542359936792591,0.00153110690614531,0.00267645457271822,0.000237361689572117,0.000790348759777498,0.00100417860275445,0.00175101239536337,0.00417919603698095,0.00495957332730163,0.000721358773581423,0.000697739146844576,0.00111282828485912,0.000584783952695701,0.00123008257256833,0,0.000502041298734537,0.000748300699403863,0.003235425100281,0.000874308930809097,0.00237751639848211,0.00222202648600754,0.00171945524099596,0,0.00145689526835585,0.000884909412192775,0.000916575797126808,0.00191898011233724,0.00179676451745368,0.000352697981695747,0.00122710969865534,0.0011239144068347,0.00283760693516772,0.00239359030521332,0.00141282910381761,0.00232028599061952,0.000910487314359408,0.00233397971159031,0.00127606473488776,0.00248066341699336,0.00204019779758076,0.00108778699719444,0.00167239053585365,0.00155067056632632,0.00221121045858333,0.000382763989475354,0.00101086178728823,0,0.00213205096434327,0.00114249485374834,0.00139168621417263,0.00315839133186613,0.00156047605039798,0.000928267909690067,0.000526778455096992,0.00251393690826363,0.000241350587836744,0.00173884745693549,0.001472679515373,0.00172041932808788,0.00201345523102643,0.00177447124152584,0.00218257660743417,0.00105942713032467,0.00115193747218925,0.000743884206363697,0.00109160581751397,0.00543132173300025,0.00107249835063153,0.000366770895782328,0,0.000400646910684046,0.00113059561773954,0.000511668268050185,0.00175854320799614,0.000412533786491926,0.00197991437307759,0.000476110538696611,0.000650920798642159,0,0.00095075380018038,0.00103111272128914,0,0.00373261803963884,0.00279295446259422,0.000781176030545491,0.00282922120154812,0.000401346707592599,0.000540697708679918,0.000559081932332599,0.00159874988471485,0.00127967453381495,0.000674961214545548,0.000895126670306666,0.00318216949878215,0.000793615193972984,0.00138354677195492,0.00101971123182371,0.000374033517882174,0.00180610434017068,0.00242261331965625,0
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000121532963105816,0,0,0,0,0.00159953942519733,0.000257407738485592,0.00012299975695509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000219529934655039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000775761549664583,0,0.000716584334200328,0,3.13482683341068e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000356782233627218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0.00557162790936079,0.00822623548728604,0.0095263494048133,0.00502292930812296,0.00370826788099768,0.00805854785230223,0.00906209095494447,0.0114261916098966,0.0159472521762758,0.0124682640892059,0.012275620098081,0.0138569127599341,0.0122955145323212,0.0141950854799596,0.00327639414071857,0.00717585424605953,0.0104561745656971,0.00941969815825998,0.00635547099807728,0.0138053051478141,0.00538566776645473,0.00391879737517976,0.0132721621361337,0.00486553345785511,0.0129586394785931,0.0061487261097024,0.00103936811089541,0.0078388545523899,0.0134320228160528,0.00966167733712795,0.00523210338135789,0.0109903212886416,0.0103818490391832,0.00869022514355708,0.00367531095675987,0.00957456816130674,0.00602017891988859,0.0148686484825438,0.0175412831010809,0.0141093530482577,0.00544980385403719,0.00557736382541559,0.00951755392080125,0.0046767127465218,0.00509187931115953,0.00136269891230616,0.00361788719530791,0.00130385640924681,0.0125575951154098,0.00452311434202061,0.00810471204494817,0.00859637119920639,0.0115583606676273,0.00129550233628632,0.0158865820621707,0.00557940715972468,0.00698981314353966,0.0134867939388504,0.00721787491568749,0.00168202550587062,0.0103917370056735,0.0063410154232612,0.0176292908584807,0.0105568274227686,0.0153419640036865,0.0162645299899367,0.0121635738408837,0.0161418577914256,0.0128678510342694,0.0152141251480356,0.0152638022462349,0.00681814006435541,0.0150990340659358,0.0160218001476813,0.0152365385251639,0.00405142469658859,0.00206331385764218,0.00209520060613046,0.00856422769358442,0.0120851770924183,0.00817063085702115,0.0120340119278935,0.0108854986347967,0.0172753930447641,0.00490849542513681,0.011200816027983,0.00395109175423006,0.00858502408774046,0.0105151904166826,0.00991679381642549,0.0136281835654791,0.0137567622163549,0.0128204821966266,0.00947759918873609,0.00974249011297731,0.00650129807718902,0.0148436984052004,0.0150251950603979,0.0051072616819631,0.0128970908031656,0.00302243084429914,0.00322218622227562,0.00615650893673198,0.00557238276428391,0.00970863682588004,0.00900242639239116,0.00572134817763607,0.00339394088434029,0.00924466840158686,0.00389483663177771,0.00583929125793805,0.0109952614472783,0.00328999584567346,0.0189485803430258,0.0138844192592952,0.00866419497261645,0.00675349653938535,0.00665635971024221,0.00170104865181292,0.00483172958731701,0.0086099735647293,0.00435311079288399,0.00678241119252571,0.00682596639677811,0.0173321629382984,0.0111808255595596,0.00414583600501048,0.0141143817685466,0.00162593614937667,0.00224182765071384,0.00655937405011126,0.00171489543951182
"6",0.00135456472761946,0.00271009997828734,0.000649306678171769,0.0010094456063301,0.000798088035911262,0.000584594798735653,0.000421769632626827,0.000749943716890614,0.00300039630033263,0.00326082546279688,0.00103232195485908,0.00146887870336798,0.00164270655571289,0.00553701252184854,0.000725216008085398,0.000563990770353605,0.00104353525127608,0.00126643153320804,0.000469494291447764,0.0027544142807613,0.00325616222452063,0.0010060398222925,0.00121387947723624,0.000556779752917725,0.00232004098749003,0.000369730458447878,0.00163336162776517,8.64839668898008e-05,0.00239363639839185,0.000663774225787101,0.00066927437923815,0.00109792642548952,0.00186731568823175,0.00105671480147537,0.00109642999016702,0.000370190463344043,0.00278076582766874,0.00275173684754409,0.00219402929977513,0.00354369189320586,0.000764460539148166,0.000323174583787578,0.00121024929753422,0.000502995340977506,0.000875103691861879,0.000318265752626046,0.000746420314290954,0.000795996121365417,0.0146972756384484,0.00154018470661867,0.00169462341616687,0.0025238219949374,0.00127005967882693,0.000216349840651686,0.00390606612934115,0.000506418433240007,0.00247540051109266,0.00243894034932663,0.00192494589757515,0.000398628403479782,0.00184574490149469,9.04547637418964e-05,0.00110786744455851,0.00122761843774563,0.0013008983726366,0.00199384264923564,0.000471908942710265,0.000469490334635062,0.016512592700588,0.00171389416898734,0.00311415284058733,0.000483528906822096,0.00120811694171934,0.00162598026604028,0.00114967169076287,0.000156722408727116,0.00334091837991096,0.00114774347448022,0.00169359197841659,0.00252512830014449,0.0012448521155172,0.00168852695153901,0.000628574715627086,0.000416251686981813,0.000265907122558362,0.000367245765285235,0.00197572295525498,0.00209727771702352,0.00198261852034354,0.00089682033521633,0.00301704324348436,0.000715382010487988,0.000845097258107194,0.00319637382043359,0.0012255654864892,0.00130165255702572,0.00096829036895857,0.0013278710294439,0.0029524514866292,0.000785815166661253,0.000860406169597255,0.00175092542140805,0.00102577804604644,0.000831090503305687,0.00766403701686256,0.000628408407043881,0.000533240113667232,0.000173318464230682,0.0011069272717419,0.000802031975772317,0.000602574112772383,0.00271768530629576,0.000293475195705166,0.00102534785317115,0.00138422897618144,0.000308058433784431,0.00536027401669528,0.000775397018028129,0.00117555362360261,0.000557577663571637,0.00205746609176587,0.000774918093531032,0.0034735596205307,0.00296750411077322,0.000106497306204087,0.00111074658064792,0.000474100834958536,0.000519270414268754,0.000276179689546413,0.00086721802753635,0.00454654153648684,0
"7",0,0,0,0,0.00101175259189802,0,0,0,0.000180666048682492,0,0,0,0,0,0,0.000377331031953564,0,0,0,0.000324949636860476,0.00122045033661362,0.000500204577952181,0.000149232667565163,0,0.00102128539055653,0,0.000130697026655682,0,0.000318382795850357,0,0.00111937450294932,0,0,0,0,0,0,0,0.000147037422821249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000304236214850738,0,0,0,0,0,0,0,0,0,0,0,0.00113951243727005,0,0,0,0,0,0,0,0,0,0.000533621223832166,9.52954530357625e-05,0,0,0.000186584120194359,0,0,0.000169774470143345,0.00201548519416431,0,0,0,0,0,0,0,0.00063631044802955,0.000155257534787206,0,0,0,0.00108430752435304,0.000643690477151987,0.00280003834481797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000855291912585789,0,0.000281601677150404,0,0,0,0.000453477194076098,0.000165236619982033,0.000239227704481613,0,0,0.00162083347036381,0,0
"21",0,0.000159748650541871,0,0.000174179389594089,0,0.000407616753505325,0.00179175805213436,0,0.000469028294701047,0.000919758323770092,0.000501742758558337,0.000943254018821806,0.000583023328291493,0.00040550344316775,0,0.000352121820611735,0.00130668792387967,0.00021984748941657,0.000172442545485373,0.000442577954788339,0.000328534300970264,0.000198365097441056,0,0.000340143747185694,0.000170190937459762,0.000189992328921519,0,0,0.00130802672450922,0,0,0.0011916309316131,0.000673725725024121,0,0.000441280775967744,0,0.000304579569963407,0.000148439711766083,0.00148945970428197,0.000434135893391252,0.000521245634993112,0,0.000636886195680311,0.000378322863643122,0.000665323634806547,0,0,0,0.000289867037773516,0,0.000153973262198072,0.000565475317221741,0,0,0,0,0.000349513067127546,0.000434190572449913,0.000964311119992823,0,0,0.000193176421401807,0.000137341152468216,0,0.000119124688098372,0.000377437464722558,0.000246064613067949,0.00306496397427273,0.000415942908123488,0.000797031305934209,0.000383802464435345,0,0.000334804838884386,0.00030895574156705,0.00031897040404947,0,0,0.000232172637626302,0,0.000401217326727885,0,0.000307604564433043,0,0.000349450408685903,9.5266571138418e-05,0.0013679516216853,0.000168443192891996,0,0,0,0,0,0,0.000302896605837023,0,0.00040245296878632,0.000420748301346425,0.000880211081990203,0.000587008247290748,0.000474712552006683,0.000505425806890944,0.000743891531686095,0,0,0.00019100814574677,0.000229008527422994,0.000128795064235272,0,0.000395556753669573,0,0.000296209425146806,0.000500360586850516,0.000108656221523158,0.00123596869609545,0.00123885724904436,0.000115358818574589,0.000295685984756778,0,0.000505196306609007,0,0.000547395751207254,6.70805732148855e-05,0,0.000277076264168693,0.00129586445454116,0.000494234204836267,8.61138987886834e-05,0.000189792042806678,0,0,0.00025130820411499,0
"23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00043028099108956,0,0,0,0,0,0,0,0,0,0.000439961703842456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014917096342736,0,0,0,0,0,0,0,0,0,0,0,0.000318504987914997,0,0,0,0,0,0,0,0,0,0.000406979962660777,1.9890714445432e-05,0,0,8.96828649405091e-05,0,0,0,0.00260232137030936,0,0,0,0,0,0,0,0.000473119635766453,0,0,0,0,0.000326128292555051,0.000394762401838732,0.00127079405799288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000542576576211137,0,0,0,0,0,0.000269006769973227,0,0,0,0,0,0,0
"26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000841825149401416,0.000391068477803795,0,0,0,0,0.000453133876294777,0,0,0,0.000416245365762004,0,0,0,0,0.0016999293708422,0.0036676783219757,0,0,0,0,0,0.00134406573552431,0,0,0.000118734784309531,0,8.34417349700542e-05,0,0,0,0,0,0.000147571231629605,0,0,0,0,0.000594667195705515,0,0.000112667291746178,0.00144484225441204,0.00590117306202195,0.000256209238688163,0.000425748971122771,0,0.000181557221472626,0.00028287440528502,0,0,0,0,0,0,0.00298154437520635,0,0,0,0,0,0,0,0,0,0.00072935024148899,6.56988540431289e-05,0.00014650771602483,0,0.000258203009138094,0,0,0,0.00382245741250186,0.000381782375141626,0.000329283706512341,0.000547093631412127,0.00026553304925311,0.000159938851880857,0,0.000325858794973184,0.00875439449246272,0.00206899078752962,0,4.99644551858663e-05,0,0.000456356914178297,0.000684208958406457,0.00173789144439559,0.000400295642649616,0.000164476529478429,0,0,0.00043928469142436,0.00156221935520884,0,0.00114629792787998,0,0,0.000122734683918941,0,0.00379023690378629,0,0.000325563088589487,0.000124345406947569,0.00262336415598568,0.000643166431706356,0,0,0.000566256379066194,0.000152942129617083,0.000189105749202831,6.81583811303838e-05,0.00019604766831425,0,0.00011713244258884,0.00987075422604232,0,0
"27",0.00094091620135039,0.00156893823835032,0.00186783712105513,0.00339448052384116,0.000766815280535508,0.00188630462553456,0.00152062229456559,0.00128278303299144,0.00230074097504915,0.0019786327121696,0.000949659278451123,0.00242628228845213,0.00164894475219427,0.00214193575774324,0.000619758370809599,0.00204459996121045,0.00216747601946762,0.000648814524701772,0.00449028577475569,0.00267191424870278,0.000722488095330095,0.000433008726850917,0.00176362836641495,0.0009519769249273,0.0031748523518374,0.000924420675847582,0,0.000672038398773797,0.00110936090618939,0.000779560614844528,0.00023734977845393,0.000999028554450963,0.00210051993232429,0.00139570148857117,0.00114980427865572,0.00149831713798013,0.000992295767192875,0.00400881404880193,0.00283776521306289,0.0028274244421925,0.00144778767591759,0.00161936623849744,0.000873236254490942,0.000985559725244383,0.00263605165784597,0.000203103875208721,0.000747053459010396,0.000650761352370953,0.00221624179166578,0.00125709394254857,0.00133607856212805,0.00127821006993996,0.00176499961382283,5.49974985132748e-05,0.00213785941186709,0.00150008582786842,0.00169299002403544,0.00207757984620177,0.0010228380957413,0.000911101976131113,0.00265220393774289,0.00138544234288504,0.00303912406462451,0.00283821768998855,0.00251017412814019,0.00254606370930901,0.00263395358330333,0.00421804478768336,0.00204269413238239,0.00244515698980494,0.00236597946043347,0.00121720808543276,0.00268922161157631,0.00218094058693685,0.00408386237842419,0.00168777811778078,0.00110594212536697,0.00137272941635226,0.00165308374373535,0.00168660841985467,0.00136630024058548,0.0010339995502295,0.00337542000416554,0.000996875830014789,0.000396006568696832,0.00174948596600899,0.000489024131317667,0.00201859023336677,0.00208982039032309,0.00210561320702904,0.00247041976617672,0.00347035595931462,0.00183431366667092,0.00194249034278635,0.00116424842714935,0.000332554640295333,0.00120429977553722,0.00204482717066235,0.00265764591740678,0.00149965833129983,0,0.00067973075584595,0,0.000436073613668474,0.00284684611794662,0.00168782541522825,0.00349676670127402,0,0.00170627511427741,0,0.00086060144009637,0.00189802505210132,0,0.00194212490932146,0.00168423568135745,0.000349123749032537,0.00114424840966159,0,0,0.00192596708482136,0.00092347866127851,0,0.00178295530154614,0.000806668064907229,0.00455878326452693,0.00211778267689385,0.00051936191588846,0.00282692325223964,0.000311307403978217,0,0.000730617002117808,0.000491007313709605
