"","20190107_08_T05F_env","20190107_20_T08F_env","20190111_30_T03F_env","20190111_36_T01F_env","20190114_58_T02F_env","20190114_62_T07F_env","20190117_70_T04F_env","20190117_74_T06F_env","160618_SM_A47RW_38","160829_SM_9ZE92_260","160909_SM_9HYY2_282","160914_SM_6ZT44_382","160915_SM_9ZJIM_292","160921_SM_7ED8Q_459","160923_SM_6WVAO_405","160923_SM_7B7LL_404","160925_SM_7FK6O_412","161012_SM_7CP8G_523","161012_SM_7I21H_613","20190107_06_S08F_env","20190107_12_S06F_env","20190107_14_S04F_env","20190111_32_S05F_env","20190111_34_S11F_env","20190111_40_S03F_env","20190114_56_S02F_env","20190117_72_S09F_env","20190117_80_S07F_env","20190117_86_S10F_env","P18a_CD","P19_CD","P20_CD","P21_CD","P22_CD","P23_CD","P24_CD","P25_CD","P26_CD","P27_CD","P28_CD_IBS","P30_UCr","P31_UCr","P32_Ucr","P33_Ucr","P34_UCr","P35_UCa","P37_UCa","P38_UCa","P39_UCa","P40_UCa","P41_UCa","P42_UCa","Seq85784","Seq85785","Seq85789","Seq86293","Seq86296","Seq86298","Seq86299","Seq86304","Seq86305","Seq86307","Seq86315","Seq86317","UC1","UC11","UC15","UC2","UC23F","UC4","UC5","UC6","UC8","UC9","P02_C","P03_C","P04_C","P05_C","P06a_C","P07a_C","P08_C","P10_C","P13_C","P14_C","P15_C","P16_C","P17_C","H1","H2","H3","H4","H5","H6","H7","H8","160524_SM_A8GT9_17","160618_SM_A77V5_63","160622_SM_7LLEE_121","160624_SM_7DN4P_142","160825_SM_7I1HW_216","160825_SM_7I21P_220","160829_SM_76CCD_221","160831_SM_9HL6A_274","160909_SM_61N7X_343","160909_SM_63ZAL_344","160909_SM_689VN_335","160909_SM_6AXJS_330","160909_SM_9U279_298","160911_SM_61NJD_346","160911_SM_65GXO_340","160912_SM_5QVZJ_354","160914_SM_5ZNHU_329","160915_SM_61U3X_352","160916_SM_62ART_337","160916_SM_689O9_342","160916_SM_6KUDE_363","160916_SM_71T49_392","160916_SM_71T4H_391","160919_SM_6J3OJ_351","160920_SM_6XRKK_454","160921_SM_6ZEWI_414","160921_SM_7GCI5_446","160923_SM_6XTTJ_427","160923_SM_71T47_393","160928_SM_7BCZJ_397","160930_SM_6SSN7_440","160930_SM_71T3Q_395","161004_SM_9W3AR_549","161011_SM_5QVZH_531","161011_SM_9KOQA_562","161017_SM_69UN3_535","161017_SM_7LSOC_583"
"0",0.000287881772845003,0.000141105251916017,0,0,0,0,0,0.000144432789313767,0,0.000599200131437031,0.000190865671650466,0.000167404789612138,0.00034134598208392,0,0.000591234963174105,0.000163777099392852,0.000179231601861864,0,0.000400029948615192,0,0.00136704380933374,0.000280984879203911,0.000233585920069413,0.000274796544191445,0.000569816430205068,0.00041435951336629,0.000169127905715769,0.00029316354647434,0.000463389175265208,0.000687214825190235,0.000302437238975905,0.000615026895771417,0,0.00055096306216221,0.000417221861560907,0.000789366617878001,0.000845593546962676,0,0.000574949928791921,0,0.000925664482490259,0.000950207823433001,0.000171939443546516,0.000264350882555862,0,0.00112904583333346,0.000981569294369996,0.000507564385064662,0.000101414588224358,0.00107758098731687,0.000381943686467324,0.000800800043594906,0.000137134117191733,0,0.000791870474791755,0.000127567685467232,0,0.000345903921428981,0.00017843136269913,0.000392385985477856,7.30974205247216e-05,0.000395289414498187,7.44872187112939e-05,0.000590985215002653,0.000415130210837262,0.000596359641243804,0,0.000416595815366971,0.000549366446226113,0,0.000244856644206642,0.00181495987481086,0,0.000352187651245522,0,0.000124232272419802,0,0.000217183648056629,0,0,0.000340123124993382,0,0,0.000198613677510075,0.000169904461059763,0,0.000243815989192819,0.000116223365417525,0.000105472910660271,0.000125392141390361,0.00012415633968048,0,0.000212630339041979,0.00014512714123268,0.00056048978938631,0.000842891157202008,0.000159760910571302,0,0.000844923477332256,0.000345609762356147,0.000832462518167347,0.000699935710662179,0.000631669079687431,0.00101956486471487,0.000365877773056892,0.000227248410591465,0.000273202541280498,0.00097806508281695,0.000201162247557273,0.000264373169326251,0.000576608660272032,0.000182548820745154,0.000701999083194519,0.000157419622155915,0.000369691640813294,0.000231354062625407,0.000203382082396403,0.000785103550046375,0.000794357009223023,0.000322787464830366,0.000429739218372157,0.000611219083789612,0,0.000530934039825835,0.000213085209335269,0.000135112834240926,0.000175298722375206,0,0.000582593827277703,0.000546964741077535,0.000308712788555963,0.000605136683353668
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000180195032967439,0.000137237589256237,0,0,0.00012159855292311,0,0,0.000273869218837696,0,0.000396837251711049,0,0,0,0,0.00015921797786301,0.000532638811181039,0.000359633328957073,0,0,0,0,0.00023583081918531,0,0,0.000772513526458628,0,0.000442585726028499,0.000506368253083087,0,0,0,0.000141480573301155,0.000554256820198742,0,0,0,0,0.000350233015001352,0.000140085424441363,0,0.000352132028141447,0.00012069608794146,0,0.000289399348118632,0.000145108043488145,0,0.000126213170621447,0.000186635438697008,0,0.000394032434816591,0.000218670508449016,0.000309450267217815,0,0.000191927014552147,0.00031632350239612,0,0,0.000431864132194053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000243794981493438,0,0,0,0,0,0,0,0,0,0.000188990172929502,0.000290429400931613,0.000186020371853827,0.000412018547388122,0,0.00022912234796558,0.000308500038426677,0,0,0,0.000483770616742002,0,0.000746949287283759,0,0.000309336929655569,0,0,0,0,0.000345416423514133,0.000468378710062798,0.000270293265985664,0.000185473070855589,0.000214555613782618,0.000172423232927361,0.000230341900916425,0,0,0.000277933357360135,0,0.00033719495913474,0.000952488785688663,0,0.000525902356447959
"3",0,0,0,0,0,0,0,0,0.00015799077557331,0,0,0,0.000329865215792043,0,0.000567895058608713,0.000159346652873299,0,0.000418383212047907,0.000265156026844443,0,0.000286104593897663,0.000505115875752352,0,0.000239288499868155,0.000247048785999326,0,0.000287573685850816,0.000258521213019976,0,0.000645256690088739,0.000258323947593447,0,0,0,0.000431915997244029,0.00100228965097575,0.000578971473808213,0,0.00039319790396698,0,0.000567565360133099,0.000670773748736285,0,0.000230351746945451,0,0.000292289102526396,0.000525922324986022,0,0,0.000252614545191285,0,0.000654576876144387,0,0,0.000555604301252025,0.000113976041759711,0,0.000248110479596248,0.000156464129612205,0.00023693987431486,6.57086070128433e-05,0.000510876605740753,6.67604956965496e-05,0.000596183652435346,0.000122465002625708,0.000320441025450995,0,0,0.000459390313679947,0,0,0.00109984999453765,0,0,0,0,0,0,0,0,0.000107068618644702,0,0,0.000281084022900478,0,0,0,0,0,0,0,0,0,0,0.000118482062205259,0,0.000155323148765777,0,0.000807819328427141,0.00012370609010559,0.000606611046710894,0.000457492999462764,0.00031693157631168,0.000972806057394375,0.00035287168817137,0.000220240557540152,0.000264262941386496,0.000256279381808498,0.000368706289384702,0.000255906021198248,0.00131292811109265,0.000177289690517906,0.000185229050108664,0,0.000356650730201662,0,0,0.000207674573084224,0.000272216752795255,0.000165759628973511,0.000413529272739542,0.000133403745658259,0,0.000746331970431043,0,0,0.000170370636966094,0,0.000382628986468395,0.000524627143446675,0.000158433037414322,0.000850021451930656
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.98413909711146e-05,0,9.85856510322614e-05,0.000102580552328941,0,0,0.000105072198309769,0,0,0.000116950557572623,0,0,0,0,0,0,0,0,0,0.000102073868193387,0,0,9.77561088627048e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.80746900979417e-05,0,8.37620960576744e-05,0,0,0,0,0,0.000468604057565527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000184715335003922,0,0,0.000353959757349276,0.000191044301463601,0,0,0,0.000427728928038981,0,0,0.000423595946798016,0,0,0,0.000467703818146352,0,0,0,0,0,0,0.00032871374133206,0.000439244650653475,0,0.000347236010429809,0.000207624018043557,0,0,0,0,0.000267067835595531,0,0,0.000874869801868015,0,0
"7",0,0.000129819577755216,0,0.000133749584233348,0.000136986620856467,0.000134262889630188,0.000134462580110492,0,0,0,0,0,0,0,0,0,0,0.000190374107673252,0,0,0.000148375235243564,0.00012721125720321,0.000215392899266969,0.000121961665803103,0,0,0,0.000132704249144246,0.000296685104826587,0,0.000235282775357671,0,0,0.000240259460841496,0.000231130558856702,0,0,0,0.000288149779280217,0,0.000394498115490047,0.000237571862678453,0,0,0,0.000593282758561031,0,0,0,0,0.000209382973232312,0,0,0,0.000488661992792658,0,0,0,6.39206284654318e-05,8.94207230614316e-05,0,8.49604197742414e-05,0,0.000257446792981654,0,0.000149527797461107,0,0,0,0,0,0.000524937018301985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5820973152491e-05,0,0,0,0,0,0,0,0.000205241375162328,0.000272002421904825,0,0,0.000185741651251092,0,0.000628304878432928,0,0,0.000247762857238091,0,0,0,0,0,0,0.000338667625919269,0.000454438141434107,0.000138232269808373,0.000184284280126743,0.000110654492415682,0.000171753641300505,0.000228006140388016,0,0,0.000142147226877045,0,0.000170120316544233,0.000460370666724629,0.000132242829354563,0
"8",0.00014959543188829,0.0001412789071235,0,0.000143496486284411,0.000145889291385052,0,0.0001442864525191,0,0,0.000196459321605671,0,0.000146146900842106,0,0.000142066431917878,0.000194483868466622,0.000311019636303387,0.000158077765739299,0.000211036762276885,0.000123685059674706,0.000154246135215325,0.000170750906051699,0.000148695917878793,0.000125922651922014,0.000853039118014181,0.000151150847681083,0.000148433313638745,0.000173975268568396,0.000447758173670309,0.00016223603972733,0.000191677950701325,0.000183575273621896,0,0,0.000319927639643011,0.000432540890876202,0,0.000171675509406071,0,0.000521509976143437,0,0,0.00056728352695373,0,0.000151384214716541,0,0.000628998722048024,0.000483483315482251,0,0,0.000165545579891077,0.000502490326692277,0.000306121869207631,0,0,0.000512279307878113,9.29787658573208e-05,0,0.000108867991631447,7.4046147261281e-05,0.000227285012639751,0,9.73490508433479e-05,0.000142190059226338,0.000380518215564263,0,0.000262711013359677,0,0.000150583937394053,0.000222323879213174,0.000164961378972566,0.000328299103577979,0.000715497705732612,0,0.000122158258676611,0,0,0,0,0,0,0.000128115335104985,0,0,0,0.000131318619861654,0,0,0,0,0,0,0,0,0.000151095601446784,0,9.03373961225416e-05,0,0,0.000435948641908144,9.31553133874545e-05,0.000194228573803648,0.000505117812993535,0.000309497089846201,0.000245857119088708,0.000347171940642749,0.000192196210316641,0,0.000230110383583367,0.000165357278656889,0.000230174109568688,0.000607340185912929,0.000146953166866014,0.000357017704959023,0,0,0,0,0.000177942723764604,0.000258016407354257,0.000134566032428367,0.000192790635234576,0.000367535381282899,0.000175942266377824,0,0,0,0.000306156156406191,0,0.000174377467147613,0.000591012399769618,0.00012937404733618,0
"9",0.000538538313065968,0.000172497413835685,0.000167624839940161,0.000699980045412706,0.000178806045425235,0.000177322379361613,0.000176606656337114,0.000176560373820913,0.00025255540456228,0.000484487408479286,0,0.000140755921234318,0.000281227158031461,0.000484459354520832,0.0015851867153087,0.0010065679403352,0.000150493942579034,0.000190298656665498,0.000424749538120254,0.000527220680924431,0.00215582766411685,0.0012475969563956,0.000565148132163161,0.00158981046487247,0.00144074374715037,0.000501248981596971,0.000387133518945644,0.00109888108252334,0.0013722127767417,0.00188101592713886,0.00112594986143994,0.00117189259981477,0.000284497455886114,0.00151978946683848,0.00146672561954757,0.00320706710606196,0.00199538554166299,0.000362984396712932,0.00211652261453657,0,0.00287267568859874,0.00338098946644977,0.000636432076257561,0.00140265130921005,0.000570116350909741,0.000494970981719769,0.00238819568619075,0.000830596816130532,0.000481705662057841,0.000823411029791065,0.000668356620900621,0.00138422726806308,0.000925079128244286,0.000941002232390206,0.000883277409723853,0.000293270051902095,0,0.000573912990545308,0.000235461203933784,0.000422859860713158,0.000176713603270838,0.000521518481787774,9.82463216302674e-05,0.000938715943841601,0.000890942171677031,0.000949556967564384,0.000176401213288868,0.00068379420790641,0.000858111790193062,0.000748935949378193,0.00110093566400399,0.00268854333966345,0.000821361224597558,0.000660819177145248,0,0.00029093590523115,0,0,0,0,0.000763008020724754,0,0,0.000227499317106369,0.000303710277228548,0,0.000284137702447765,0.000701855762496364,0.000178430978143985,0.000128837809347064,0.000447129257762116,0.000689371276972816,0.000534642613510181,0.000253678403661209,0.0010652316294725,0.00155230252395053,0.000594921488122899,0,0.0014810866149705,0.000469220886716566,0.00130688185559354,0.0012684108028079,0.00122794828312024,0.00159355805761352,0.000586581148623773,0.000850084571792513,0.00063758004554354,0.00171090014715753,0.000890381031921355,0.00135190379380112,0.00273232056499255,0.000682307511463069,0.00110521812500858,0.000254338199161374,0.000314921466544404,0.00117955885090641,0.000760200060577537,0.00180224447937991,0.001628422892399,0.000982708857613942,0.00068582410014354,0.000877415125632043,0.000641096611698244,0.00197352701712489,0.000184428378524244,0.000118715612531783,0.00112534493380938,0,0.00120600570129435,0.00126124810420737,0.000720148971599711,0.0018222674593244
"10",0.000139506386958042,0.000131839171042585,0,0.000133809095996841,0,0,0.000134546948499677,0,0,0.000231445474272796,0,0,0,0.00017098029652872,0.000228871384996037,0.000354354074075329,0,0,0.000149364041369292,0,0.00108181306088263,0.000261761556431545,0.000218857433056002,0.000510514179220498,0.000394813861170634,0.000258866130986007,0.000159446104819977,0.000818016977524567,0.000429219734187268,0.000819935669815785,0.000281236816410086,0.000323524012970837,0,0.000543793602616245,0.00112952227200008,0.000916502958283086,0.000267033441166379,0,0.000818001748986279,0,0.00101775053052298,0.001426535942316,0.000126050151508998,0.000238062962663,0,0.000613442164255068,0.000876283356407654,0.000382216589895394,0.000273296733038299,0.000492363939948817,0.000364187061996981,0.000530435649596831,8.06137253350775e-05,0.000586375091356658,0.000518177331064983,0.000319821051076375,3.63208708007078e-05,0.000268263885361187,0.000236428274887955,0.000273823462586411,7.30656348788394e-05,0.00030692262470728,0.000128684521558927,0.000548131793006239,0.000133482192211313,0.000582085637855017,0,0.000206510700568734,0.000240939867822052,0,0.00051450707772684,0.00139542299235865,0.000396597140831254,0.000233331285010857,0,0,0,0,0,0,0.000203419374123047,0,0,0,0,0,0,0.000158794305141893,0.000197208120305696,0,0.000367611029148151,0.000172213396801513,0.000241294624542727,0.000160549375668099,0.000301088870519578,0.000740717193789712,0.000147771404485765,0.000105918915713101,0.000474178300706482,0.000231974218739377,0.000470345726413551,0.000537831141704023,0.00114515768091299,0.0002774263210771,0,0,0.000273690804607499,0.000555851813840732,0.000629530460282662,0.000261888074386645,0.000648032974989649,0,0.000184700033834765,0,0,0.000479116871654345,0,0.000928062623026624,0.000614232232902375,0.000331728831661363,0,0.000704702301486338,0.000428476506485867,0.000278211003931531,0,0,0.00016302009757701,0,0.000662463071656699,0.000625205573556855,0.000318468131614915,0.000325278721269043
"11",0,0,0,0,0,0.000137438529412489,0,0,0,0.000176844462361019,0,0,0,0,0.000517385910887113,0.000132828482497449,0,0,0.000117634427832103,0.000146993806148043,0.000466442537891871,0,0,0.000522342573525759,0.000273577064803976,0,0,0,0.00015425203969412,0.000608114613132784,0.000179353333925482,0.000249290176875766,0,0.000180837310442308,0.00056697856618652,0.000824776908423298,0.000168191608649041,0,0.000539012728226617,0,0.000508359247098496,0.00110233422175729,0,0,0,0.000823521795888528,0.000268834358532977,0.000165463845315684,0,0.000288892997705516,0.00027893075844786,0.000440859978244333,0.000194893717508111,0,0.000519917752637488,0.000125286625765825,0,0.000158172902771237,0.000104209774490207,0.000274106870492244,0,0.000266110810404817,0,0.000192538981107064,0.000302771218177969,0.000629459446498289,0,0.000193745778247527,0,0,0,0.000415020575704131,0,0.000130473844292697,0,0,0,0,0,0,0.000224030510986427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00109969551830964,0,0,0.000183499364244721,0,0.000721685328609849,0.000202085156840735,0.000269177508431819,0.00022271976671947,0,0.000181238293635435,0,0,0,0.000212383645121727,0,0,0.000152078058741283,0,0,0,0,0.000336454653357356,0.000920282750305991,0.000262938920717726,0,0.000520006423126122,0,0,0,0,0.000137503631601317,0,0.000165763077011396,0,0.000377077221663825,0.00025708375391953
"14",0.000168760459549254,0.000156470881246618,0.000153514673605849,0.000162201566277404,0.000166656624757046,0.000162341175132123,0.000163054041582553,0,0.000141418640581821,0.000444894172121253,0,0,0.000272724253757734,0.000144780541492903,0.000556229837501391,0.000344517993318705,0,0.000191407856966079,0.000127995902012067,0,0.000659436814475218,0.000335100052661078,0.00025813160476756,0.000745353169472961,0.000324036367031526,0.000519969995029146,0.000172170517022108,0.000346038259343287,0.000362656376776656,0.0006395636115554,0.000335164706072661,0.00059441513268045,0,0.00048774573526481,0.000604362008190247,0.000909244764116214,0.000573840512555219,0.000112933988102897,0.000856920537611496,0,0.000811596570531599,0.00127064894826612,0.000296717895037377,0.000406047803527053,0.000175971925246166,0.000320779040044655,0.000520724182918536,0.000449642335867146,0.000227980681686266,0.000572313515240103,0.000554582663341546,0.000779674768312787,0.000284348001546821,0.000695495115188343,0.000383887456153456,0.000252217060132763,6.33898499599733e-05,0.000168303337187499,0.000111788486812244,0.00024205613223599,0.000138312779889824,0.000206538391865406,0.000142558969218693,0.000687221038533349,0.000302648867080091,0.000450606717624789,0,0.000263247066317548,0.000457196936534495,0.000223077379828559,0.000475601088115376,0.000954319879506871,0.000529066088312145,0.000300857578942114,0,0.000601056872751339,0,0,0.00010976378714548,0,0.000385107029079114,0.000108653803902375,0,0.000339021949215048,0.000187551689453442,0,0,0,0.000105966469828148,0,0.000319210208630046,0.000127903487142124,0.000127500127188047,0.000275768096504272,0.000583394703838551,0.000357317047924675,0.000258521325239357,0.000115808266573762,0.000637793206402105,0.0001220023787303,0.000491477892171361,0.000529035230590535,0.00049082612380953,0.000904113254618529,0.000544898664396859,0.000498221658866417,0.000238149026705483,0.000574602183249872,0.000319647966447648,0.000409653410830537,0.000816415394597095,0.000167270045879103,0.00042060077145261,0.000146577283177683,0.000311894716228896,0.000360598669416924,0.000321936958954779,0.00095746845463179,0.00121164595235563,0.000275752058548586,0.000351353521272665,0.000312723766939313,0.000331924896853133,0.000596020693565232,0.000191302972235189,0.000128647126275426,0.000500341530509186,0,0.000187135704097579,0.00107338144460345,0.000559820486151597,0.00118558041321555
