"","160524_SM_A8GT9_17","160618_SM_A47RW_38","160618_SM_A77V5_63","160622_SM_7LLEE_121","160624_SM_7DN4P_142","160825_SM_7I1HW_216","160825_SM_7I21P_220","160829_SM_76CCD_221","160829_SM_9ZE92_260","160831_SM_9HL6A_274","160909_SM_61N7X_343","160909_SM_63ZAL_344","160909_SM_689VN_335","160909_SM_6AXJS_330","160909_SM_9HYY2_282","160909_SM_9U279_298","160911_SM_61NJD_346","160911_SM_65GXO_340","160912_SM_5QVZJ_354","160914_SM_5ZNHU_329","160914_SM_6ZT44_382","160915_SM_61U3X_352","160915_SM_9ZJIM_292","160916_SM_62ART_337","160916_SM_689O9_342","160916_SM_6KUDE_363","160916_SM_71T49_392","160916_SM_71T4H_391","160919_SM_6J3OJ_351","160920_SM_6XRKK_454","160921_SM_6ZEWI_414","160921_SM_7ED8Q_459","160921_SM_7GCI5_446","160923_SM_6WVAO_405","160923_SM_6XTTJ_427","160923_SM_71T47_393","160923_SM_7B7LL_404","160925_SM_7FK6O_412","160928_SM_7BCZJ_397","160930_SM_6SSN7_440","160930_SM_71T3Q_395","161004_SM_9W3AR_549","161011_SM_5QVZH_531","161011_SM_9KOQA_562","161012_SM_7CP8G_523","161012_SM_7I21H_613","161017_SM_69UN3_535","161017_SM_7LSOC_583","20190107_06_S08F_env","20190107_08_T05F_env","20190107_12_S06F_env","20190107_14_S04F_env","20190107_20_T08F_env","20190111_30_T03F_env","20190111_32_S05F_env","20190111_34_S11F_env","20190111_36_T01F_env","20190111_40_S03F_env","20190114_56_S02F_env","20190114_58_T02F_env","20190114_62_T07F_env","20190117_70_T04F_env","20190117_72_S09F_env","20190117_74_T06F_env","20190117_80_S07F_env","20190117_86_S10F_env","Seq85784","Seq85785","Seq85789","Seq86293","Seq86296","Seq86298","Seq86299","Seq86304","Seq86305","Seq86307","Seq86315","Seq86317","H1","H2","H3","H4","H5","H6","H7","H8","P02_C","P03_C","P04_C","P05_C","P06a_C","P07a_C","P08_C","P10_C","P13_C","P14_C","P15_C","P16_C","P17_C","P18a_CD","P19_CD","P20_CD","P21_CD","P22_CD","P23_CD","P24_CD","P25_CD","P26_CD","P27_CD","P28_CD_IBS","P30_UCr","P31_UCr","P32_Ucr","P33_Ucr","P34_UCr","P35_UCa","P37_UCa","P38_UCa","P39_UCa","P40_UCa","P41_UCa","P42_UCa","UC1","UC11","UC15","UC2","UC23F","UC4","UC5","UC6","UC8","UC9"
"1",0,0,0,0,0.000128832586459046,0.00011455647652661,0.000133276415951636,0.000134615928559331,0,0,0.000185568120031842,0.000254275858346199,0,0,0,0,0.000350748386995163,0,0.000518903431302556,0,0,0.000283012067793303,0,0,0,0,0,0.000259759111031231,0.000384200735838373,0.000187443880904444,0.000134692423322023,0,0.000158571448378249,0.000126559440290537,0.000127929729619578,0.000168185942288881,8.22024590047608e-05,0,0,0,0.000208343319802474,0,0.000123338192217348,0.00076981876224794,0,0,0.000102478784088891,0.000212761590240438,0,0,0,0.000200140279978631,0,0,0,0.000275622315617572,0,0,0,0,0,0,0,0,0,8.93490195376481e-05,8.1602364663004e-05,0,0.000264728756491425,8.38816879655361e-05,0,0.000180442208799229,0.000138762844050629,0,4.40800565500625e-05,0.000153235116403465,0,0.00027152828846505,0,0.000170782636826471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000377480414166699,0.000221234791942244,0,0,0,0,0.000128576678655611,0,0,0.000455553396747586,0,0.000204426615701735,0.000362555963759755,0,0,0,0.000395549692125264,0.000312883949304024,0,0,0,0,0.000207952522644278,0.000146808858170872,0.000275786933982993,0,0.000133701172164781,0.000216305770909565,0,0.000122124009841567,0.000338916694265524,0,0
"2",0,8.89480856539863e-05,8.79948302019137e-05,0,0.000528483560375485,6.81837443194186e-05,0.000417006066026598,0.00042033395172685,0,0.000255618826163313,0.000766137477530848,0.000278904317061622,0,0.000203390383132365,0,0,0.00026053155306237,0.000203558153493697,0.000922285551321013,0.000111740400755047,0,0.000160234870187648,0.000253530631961142,0,0.00028300637043723,0,0,0.000149000323917069,0.000216072740852462,0.0001088187685826,0.000285472004473139,0,0.000174829591984382,0.000387965116568115,0,0.000356740269833524,9.04585937756575e-05,0,0,0,0.000120860044381205,0,0.000261432829088749,0.000829301184361374,0.000153696981421641,0.000155364703525911,0.000113599360608917,0.00023390511248438,0,0,0.00017579048486967,0.000407055156174939,0,0,0,0.000186266729867203,0,0.000157337439034935,0,0,0,0,0.000268368554238551,0,0.000204711010611737,0,0,0,0.000504749722220571,7.94199655038187e-05,0,0.000159513959005276,9.63295988310602e-05,0.000153096453123595,4.08359507845851e-05,0.000438990964701338,3.94462281071721e-05,0.000473610647613672,0,0,0,0,0,0,0,7.88994942344949e-05,0,0,0,0,0,0,7.6436827381943e-05,0,0,0.000225111180738642,0,0,0,0.000515374838599506,0.000183386072830953,0,0,0,0.000325772119247814,0.000766862530312414,0.000463425731635946,0,0.000201822446535993,0,0.000442325753525815,0.00052716333503269,0,0.000178899340976695,0,0.000373315370585258,0.000428674351299539,0,0,0.000195444212400966,0,0.000455555691853796,8.22797994337827e-05,0.000275341514228707,0,0,0.000314177550115479,0,0,0.000849437226351935,0,0
"4",7.75568197991086e-05,0,0,0,0.000302726883447468,6.91262646247461e-05,0,0.000160793930407108,0,0,0.000222340637431469,0,0.000177932095434647,0.000220132044999611,0,0.000190104770026865,0,0,0.000214912568794469,0.000116830779067291,0,0,0.000285920219873345,0,0,0,0,0.000316037050385668,0.000483454630387972,0,0.000159429768609029,0,0.00018933205609793,0.000149351932721387,0,0,0,0,0,0,0,0,0.000145236441245953,0.000493286616086357,0,0,0.000119777019961878,0.000256914049478244,0,0,0,0.000173592664157624,0,0,0,0.000161367189640825,0,0.000136900237997523,0,0,0,0,0,0,0.000176908512664044,0,0,0,0,0,0,0,0,0,0,0,0,0.000134135294967788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000202123440780649,0,0,0,0,0,0,0,0,0,0,0,0,0.000183315568502422,0,0.000678747998793364,0,0,0,0,0,0,0,6.86097182113608e-05,0,0,0,0,0,0.000451898228964728,0,0
"5",6.5246179459334e-05,7.13194560417964e-05,7.43131146310797e-05,5.03728745095698e-05,0.000660862331538672,0.000148524167549275,0.000220116576212281,0.000591578684030085,0.000103656690209913,0.000539133376046776,0.000815056200912394,0.000219481023622087,0.000465037105050453,0,8.29761556937183e-05,0.00102252903631548,0.000382357867165491,0.000303469389147929,0.00126317184927871,0.000169739502809351,7.36715924577106e-05,0.000831267233023387,0.000190820965492134,7.51629793210797e-05,0,0,0.000208885083112084,0.00112592345868394,0.000982201904424339,0.000374584388056923,0.000775004762836192,0.00013368571742999,0.000752715064063858,0.000842520507070257,0.000484405898817761,0.000629138316717453,0.000345558352326058,7.07906227117224e-05,9.59169093103125e-05,0,0.000705361512642022,0,0.000550027449174184,0.000601019888062641,0.000219429333954131,0.00022049477570896,0.00031869095732389,0.000186009348052115,0.000115837071402066,0.00012967637494283,0.000268788075471257,0.000322486918060697,0.000261969911589266,0.00011918618209166,0.000638326946213961,0.000467241238874633,0.000131893474862995,0.000226398858993929,0.000133688444833698,0.000262394758613569,0.000118410516388603,0.000233126411329321,0.000191943916999306,0,0.000527334129071832,0.000529283031008961,0,0,0.000848028612565583,0.000103572837838798,0,0.000177270546151668,0.000150167038797602,0.000250966860982139,0,0.000196868962579035,5.37796706658738e-05,0.000599451067144806,0,0,0,0,0,0,0.00022446676437172,8.07183073515102e-05,0,0.000187534887242437,0,0,0,0,0.00028961299343895,0,0,0,0,0,0,0.000603808787135712,0.000159192816861938,0,0,0,0.000552504076848538,0.000407526000573249,0.000159169142679143,0,0.000553796489051573,0,0.000927512916632273,0.000833426795046975,0,0,0,0.00172701372247275,0.000701251413385207,0,0,0,0.000355267995457542,0.000151288826381359,0,0.000884464523420162,0,0,8.64493295227136e-05,0,0.000324140658527025,0.00169472687058887,0,0.000173522647684027
"6",0.00363549921927544,0.00167941769014688,0.00186262460289699,9.83326642089875e-05,0.0103005461265608,0.00287147694773583,0.00904542071342715,0.00774109843270836,0.00147258847850782,0.00814663360382759,0.0124477981779126,0.00545697531550774,0.00575376021735345,0.00344052625525688,0.00217108977006442,0.00990647925717394,0.00662206988365552,0.00995250346153928,0.0136990068215042,0.00146079754541164,0.00172937545502642,0.00908886618759403,0.00323351395957533,0.00171458763763406,0.00238183147324301,0.00280439179308008,0.00208873339974085,0.00829475365414264,0.0120819150909764,0.00551234914306675,0.00875304796002602,0.00191441035180661,0.00760301768974196,0.00730148961830154,0.00556609833966128,0.0124622151122503,0.00445636610668842,0.00141253102774256,0.00100571056866759,0.00064057863795437,0.00825581752883993,0.000582533248093234,0.00842779774195127,0.01112651787734,0.00534435702395887,0.00310838334238034,0.00447821907584971,0.0104873472646794,0.0016995473310876,0.00221384736650151,0.0092321951242733,0.00708474022553017,0.00218737287272079,0.00109838350210369,0.00311571764064258,0.00783992073108716,0.00302797221860104,0.00405659423915301,0.00511439559938436,0.00302837092159939,0.00108608966631214,0.00205423712192658,0.00395902071899904,0.000628955932166284,0.00726135707727164,0.00446268930575406,0.00390238124919874,0.00212211376294977,0.0099988225640434,0.00254382223924998,0.000148788975784709,0.00331010173111663,0.00202043362135403,0.00365486806421711,0.000831363571625747,0.00447954608869644,0.0012324155084338,0.00971094785726716,0.00370817212399841,0.0025089955709125,0.000850952276898346,0.0015328043675176,0.00152276682934256,0.000823750573134832,0.00408992906270196,0.00414663424511265,0.000389174445775622,0.00537825289155917,0.00145137209201007,0.0021391920479149,0.00125602772559318,0.00119411189366343,0.0056088303273745,0.00161198921603606,0.00103879368050048,0.00523348211464818,0.00430850818415209,0.00192341004427303,0.0035663691705556,0.0170872210644786,0.00871110602444026,0.00163187126773589,0.00132245032703141,0.0080059131417543,0.00930220812528146,0.0120359477714605,0.00837318184778893,0.000735906283071374,0.0207457072000219,0,0.012122059452015,0.0173005944591772,0.00170079524317391,0.00497790134858472,0.000574575056183187,0.0657298104150077,0.0143848139803254,0.00327662101076388,0.00445703798898615,0.00761436461202868,0.00996630151937906,0.00804385447224916,0.00509590350495372,0.0132718838210421,0.000907461733283402,0.00500994798675197,0.00995808810469904,0.00351616083610958,0.00729846489597838,0.0320596670844548,0.00168346215655394,0.00511787803383139
"7",0.0340567019231275,0.00513228246619711,0.0222599456697011,0.00143830989509598,0.0515255058392754,0.007275073627526,0.0228230979841665,0.0174337725864518,0.0140043601792563,0.017403768329404,0.035649401698328,0.0114542268422238,0.0154791631845778,0.0093477410443506,0.00423889432873581,0.0197878405117081,0.016639608726036,0.0167747988606219,0.0392015387340089,0.00550756534383706,0.0031338557823431,0.0194814299675274,0.00918443734226389,0.00486341692471248,0.00696187756946416,0.0192419323170678,0.0128689166558746,0.0289492656700296,0.0399109731957136,0.0214762899977347,0.0206049747478854,0.00755419628144193,0.032356714758569,0.0384245676868977,0.0119793765034118,0.0280662642017341,0.0143862633679829,0.00353495478852474,0.00309634368514798,0.00241451893597298,0.0313571225694232,0.00260711496289131,0.0237558839415671,0.0189037591316083,0.0102733791558192,0.0100613865718789,0.0200934667968802,0.0349731441827201,0.00622110627171034,0.00693390937693512,0.0460336176029467,0.027206457157486,0.0066690303440797,0.0028737943235367,0.0103665640114319,0.0300572679559802,0.00794689837784211,0.0193202956973624,0.0191355931369268,0.00741595376194008,0.00547190582651979,0.00464872579899762,0.00991354435480074,0.00196273932953516,0.0233803705791367,0.0118083985085743,0.0104241797558956,0.0157054968968393,0.0314415998596389,0.00815287115998454,0.000939947069610239,0.00924968831304693,0.00658889961769168,0.0125168149907462,0.0023706697099926,0.0165114490690778,0.00217837433892319,0.0210306816143768,0.00682094051886085,0.00507984909870393,0.00439987606364068,0.00720124626036805,0.00856289908325982,0.00672222210440484,0.00998827361575655,0.0267641576604278,0.0139733979737061,0.011353346484853,0.00512106680610327,0.0036055850562986,0.00233494592986348,0.00303787875489036,0.0311659849634168,0.0085227428752453,0.0029412995632187,0.0095661892462914,0.0077654653778319,0.00323774030591491,0.00964649579252854,0.0498853951455392,0.0277254524102928,0.0275412762003087,0.00262777856949824,0.0264739541417827,0.0322715267395666,0.0463449457056365,0.0308683471693746,0.00262460196263809,0.0372247761972791,0,0.0472224546841857,0.0552838146351972,0.00676791876651485,0.00977808876553443,0.00551198366648953,0.0879252524692377,0.0366555681487066,0.0271832505480942,0.00376053594453555,0.039115273046492,0.0311518088021829,0.0337897441241587,0.0128957749538847,0.0352735933183157,0.00305353074351671,0.0125623433781746,0.0183756016616727,0.0123074380508677,0.0196870628879743,0.0541651089139502,0.0111931979211516,0.0143089134616468
"8",0.0298509920703578,0.0116574551042156,0.0108478654963888,0.00132471037443804,0.0660866111804823,0.0122921012885166,0.0457304476035444,0.0542918520665511,0.0126469079939827,0.0316604006287563,0.0454420542151886,0.0225022203926185,0.0284170472829463,0.0109216908436196,0.0101118460995198,0.0596135314061079,0.0253230294961907,0.0198498796442586,0.0368609850870966,0.0108579373597222,0.00525335633791763,0.0585437600697468,0.0500034444991128,0.0107708671385992,0.0155297864227334,0.0143507008660027,0.0143609723867654,0.0355320287713411,0.0631083681331975,0.0295839358051645,0.0604143566014879,0.00894565953277177,0.0610082540134291,0.0318783455513105,0.0207938619586745,0.0369098384759741,0.0121476244655209,0.00333542529057425,0.0028138393170218,0.0025687343978496,0.0204024100130019,0.00491767319758661,0.0247018174828281,0.0562783508435247,0.0181593052536621,0.0218089461825792,0.030531760353193,0.0276510207394097,0.00661722337481558,0.00947361467443892,0.0512174713842195,0.0444890177418179,0.00948029594637504,0.00602455310406459,0.0285581918214292,0.0468812488868023,0.0117666992173328,0.029330885493379,0.0353534098111876,0.0132255618813745,0.00563335046402154,0.010056350075848,0.0245140553224605,0.00355136721655852,0.045881207496901,0.023571450665883,0.0164718994329358,0.0187516300274127,0.0582839489668854,0.0155099552419103,0.00145071359081433,0.0143309117479058,0.0114851921443427,0.0244768385347887,0.0040813631193373,0.0470710960510314,0.00552109905193986,0.0349117074543732,0.0173065081026658,0.00930607328331494,0.00851047130722304,0.00981937193420876,0.00794922558453732,0.0111910917404987,0.0181413846700729,0.0284862185674896,0.00562337468248882,0.0857408337596231,0.0502909700728858,0.0464761655276212,0.0390871138881121,0.0175365430672825,0.0679679062581452,0.0461637635550017,0.00632266296960005,0.0576866708766086,0.0360066964815614,0.0315854296485234,0.0359827319387793,0.0401596064599834,0.0269335426541247,0.0132220072174251,0.00433309263728337,0.00971424510851051,0.0195195997448921,0.0382316028133219,0.016957131575484,0.00458074491687861,0.0449532692301538,0,0.0490281090113619,0.0333521024286801,0.00692929515498303,0.0190560367770578,0.00300287368201665,0.0795909839045998,0.0197054192972591,0.0133016663026978,0.0095139923902544,0.0179192487809956,0.0195587013170544,0.0291286029260633,0.0203617214725927,0.0719736786784914,0.00546226545170643,0.0281114505206237,0.0306383021912209,0.021961886735669,0.0359683012406738,0.106765073570367,0.0123838272784237,0.0238599804816043
"9",0.000266312600649424,8.25151264662114e-05,0.000316073771125911,0,0,0.000236458515857784,0.000138091117407951,0,0.000127129107310473,0,0,0,0.000154862999133792,0,9.80893939658939e-05,0,0,0,0,0,0,0.00082013967543685,0,0,0,0,0.000678959742453156,0,0,0,0.000138939135271199,8.58436976501137e-05,8.23416255053735e-05,0,0,0.000547746246532444,0,0,0.000103978581457583,0.000218142121855447,0,0,0,0,0.000149056324696967,0.000312593690848698,0,0.000225965736949926,0,0,0.000125469437633801,0,0,0,0,0,0,0,0.000137822300516046,0,0,0,0.000188755208657854,0,0.000416222083487004,0,0.000365959619430578,0.000448043749380952,0.000175526891590525,6.60897175349125e-05,7.12124114752796e-05,0,4.98989749923578e-05,0,0,0.000274911528718768,0,0,0.000442571941881058,0,0.00015664679160943,0,9.10560721092559e-05,0.000226225906230156,0,7.26620370178659e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000369795064490291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",0.000378661733288884,8.15352923996199e-05,0.000154017007398364,6.2112652133196e-05,0.000424040097171007,7.12423861344305e-05,0.000517358804631573,0.000335750995970492,0.000115485045502716,0.000397884455530053,0.000704888983107374,0.000432807616066933,0.000386726714928555,0.000187190505413284,0,0.000513496004334232,0.000230209062559145,0.000331749556487544,0.000573894314392864,0.00010997370467901,0,0.000460379906803062,0.000203529346313381,9.03186655187828e-05,0.00024821379638365,0.000259374939805935,0.000232286995423207,0.000791383181755293,0.000963049462723148,0.000188406423863824,0.000343345443168364,8.42177181738622e-05,0.000223805451218395,0.000375850644926585,0.00023700641355579,0.000422242350521764,0.000199119801313535,0,0.000113457838067119,8.66272081631359e-05,0.000368149422670499,0,0.000318356010891893,0.000857489530253128,0.000132283905877314,7.56705680266539e-05,0.000477785072716941,0.000795302639184232,0.000116053258966885,0.000127562898336449,0.000431671487688725,0.000319524977866365,0.000119285044168999,0.000117252971021507,0.000212546887875981,0.000654354951025544,0.000129671726918966,0.000225500064147899,0.000474318600560326,0.000118548537872434,0.000116533825191561,0.000106524617911257,0.000191430224467499,0,0.000321250844368469,0.000230041326722161,0.000194509301035352,0,0.000337590879160621,0.000189647268691717,4.14293053409237e-05,0.000119294433580281,7.95688445243433e-05,0.00024699909202982,9.28485470145654e-05,0.000192761353437255,9.16586435360484e-05,0.000591582653169159,0,7.40649382810357e-05,0,0.000225545917550977,0.000161391224235621,8.99121347929305e-05,0.000196209681659291,0.000415426531164692,0,0.000378952034041086,0,0,7.57344913404736e-05,0,0.000271911264028511,7.62398411947964e-05,0,0.000246735719078835,0.000135860391115126,0,0,0.000483101003477049,0.000243213892278278,0.000361344932877672,0,0.000349729020810258,0.000441494517384977,0.000637723165086399,0.000433689909936338,7.0703465228289e-05,0.000436417664048959,0,0.000593862494854906,0.000922823516201599,0.000194971431509996,0.000316241854383196,0.000101943863430213,0.00178404589778995,0.000400797529114837,0.000352129465667684,0.0001611433561436,0.000444434821052397,0.000556488168690087,0.000507554127086877,0.000201566828261945,0.0004237960807197,0,0.000182621476000922,0.000317189113541441,0.000140342622102685,0.000320712867199306,0.000797344872506365,0.000362438835085812,0.000197334685538585
"12",0.000146259059442619,9.1706723327672e-05,9.04881460108381e-05,0,0.000280082609799954,0.000130412784770968,0.000427782504627487,0.00043112814444774,0.000136388699321889,0.000507979578190985,0.000404235498848355,0.000286348427433185,0.000171279751403255,0.000401682828498738,0.000107604822466993,0.000513361524644927,0.000267513703067754,0.000401945395354198,0.000392590463188567,0,0,0.000164589832228187,0.000261019139151458,0,0.000290567463172657,0.000447093493655209,0.000272487292553573,0.000292646070341176,0.00063271264659388,0.000212107047899315,0.000152919273017175,9.51190800749274e-05,9.49061075037529e-05,0.000271913767256507,0.000145503737454223,0.000366129237837153,0.000174711572601791,0,0,0,0.000345449309664636,0,0.000268399065698842,0.00043637927306535,0.000158355857118148,8.50786078732707e-05,0.000326955853429628,0.000464064229114865,0,0,0.000225602090364448,0.000257064791210423,0,0,0,0,0,0.000202780978842064,0.000247961943968298,0,0,0,0,0,0,0,0,0,0.000297648670557786,0.000105734486661622,0,0,0.000132033639985936,0.000207743300387317,0,0,0,0,0,0,0,0,0,0,0.00012610758844975,0.000143957152747214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000202738277548881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000542235761545184,0,0,0,0,0,0,0.000296263635004744,0,0,0,0,0,0,0,0
