"","20190107_08_T05F_env","20190107_20_T08F_env","20190111_30_T03F_env","20190111_36_T01F_env","20190114_58_T02F_env","20190114_62_T07F_env","20190117_70_T04F_env","20190117_74_T06F_env","160618_SM_A47RW_38","160829_SM_9ZE92_260","160909_SM_9HYY2_282","160914_SM_6ZT44_382","160915_SM_9ZJIM_292","160921_SM_7ED8Q_459","160923_SM_6WVAO_405","160923_SM_7B7LL_404","160925_SM_7FK6O_412","161012_SM_7CP8G_523","161012_SM_7I21H_613","20190107_06_S08F_env","20190107_12_S06F_env","20190107_14_S04F_env","20190111_32_S05F_env","20190111_34_S11F_env","20190111_40_S03F_env","20190114_56_S02F_env","20190117_72_S09F_env","20190117_80_S07F_env","20190117_86_S10F_env","P18a_CD","P19_CD","P20_CD","P21_CD","P22_CD","P23_CD","P24_CD","P25_CD","P26_CD","P27_CD","P28_CD_IBS","P30_UCr","P31_UCr","P32_Ucr","P33_Ucr","P34_UCr","P35_UCa","P37_UCa","P38_UCa","P39_UCa","P40_UCa","P41_UCa","P42_UCa","Seq85784","Seq85785","Seq85789","Seq86293","Seq86296","Seq86298","Seq86299","Seq86304","Seq86305","Seq86307","Seq86315","Seq86317","UC1","UC11","UC15","UC2","UC23F","UC4","UC5","UC6","UC8","UC9","P02_C","P03_C","P04_C","P05_C","P06a_C","P07a_C","P08_C","P10_C","P13_C","P14_C","P15_C","P16_C","P17_C","H1","H2","H3","H4","H5","H6","H7","H8","160524_SM_A8GT9_17","160618_SM_A77V5_63","160622_SM_7LLEE_121","160624_SM_7DN4P_142","160825_SM_7I1HW_216","160825_SM_7I21P_220","160829_SM_76CCD_221","160831_SM_9HL6A_274","160909_SM_61N7X_343","160909_SM_63ZAL_344","160909_SM_689VN_335","160909_SM_6AXJS_330","160909_SM_9U279_298","160911_SM_61NJD_346","160911_SM_65GXO_340","160912_SM_5QVZJ_354","160914_SM_5ZNHU_329","160915_SM_61U3X_352","160916_SM_62ART_337","160916_SM_689O9_342","160916_SM_6KUDE_363","160916_SM_71T49_392","160916_SM_71T4H_391","160919_SM_6J3OJ_351","160920_SM_6XRKK_454","160921_SM_6ZEWI_414","160921_SM_7GCI5_446","160923_SM_6XTTJ_427","160923_SM_71T47_393","160928_SM_7BCZJ_397","160930_SM_6SSN7_440","160930_SM_71T3Q_395","161004_SM_9W3AR_549","161011_SM_5QVZH_531","161011_SM_9KOQA_562","161017_SM_69UN3_535","161017_SM_7LSOC_583"
"0",7.73125160163501e-05,7.18250772205087e-05,0,0,0,0,0,7.61399982270346e-05,0,0.000104938353423049,8.95066093810385e-05,7.93306448821922e-05,0.00017920330983671,0,0.000335715743149876,7.93313260861059e-05,8.70379926879724e-05,0,6.63085135499259e-05,0,0.000527385280970166,8.12198707128748e-05,6.7011050052033e-05,0.000162003980903581,0.000163593113461351,0.000157864802189115,9.02274959574142e-05,8.47186508643001e-05,8.76688907795014e-05,0.000435142358556477,0.000145942076524858,0.000290870677969952,0,0.000296951908096177,0.000153066720475526,0.000257636474391615,0.000337976988561037,0,0.000359067970161417,0,0.000320833576286781,0.000298831093325025,8.96824785210735e-05,0.000133877545772062,0,0.000268214675684192,0.000244297996398189,0.000256277743645358,4.76546895735287e-05,0.000401773083242719,0.000145106181100494,0.000314166756463877,8.74868673842098e-05,0,0.000388300772263408,3.0625817001487e-05,0,0.000111297362425014,8.82747732841772e-05,0.00011966227131843,4.79874985340149e-05,0.000128317292132741,2.72056575942958e-05,0.000272205642690541,0.000202771713971203,6.83306321542071e-05,0,0.000169184619313407,0.000261174221186742,0,0.00010911411842159,0.000628892066040588,0,0.000166180653516119,0,6.30608712084704e-05,0,0.000126987318406469,0,0,0.000201979695408933,0,0,0.000105562532123305,9.54143236782107e-05,0,0.000144121772480295,4.95000135832903e-05,4.2418437765567e-05,5.29792804863362e-05,5.4093078656066e-05,0,0.000104091970343897,6.2420105478405e-05,0.00018879283634715,0.000168302453657224,7.18074907135962e-05,0,0.000477857894440643,0.000112464657756044,0.000216408524449251,0.000242038278672049,0.000337519412814096,0.000437594649972952,0.000196842580787673,0.000114970702141051,0.000144751790202414,0.000258282404633516,9.62984022983806e-05,0.000126307513555529,0.000310359935177065,8.67717436020054e-05,0.000182536306435859,7.28040508782423e-05,0.000196885471210231,0.000116751410285587,0.000101245913289272,0.000213462952348586,0.000427905605022321,0.000156927109525339,0.000226123298036747,0.000121842485588539,0,0.00028497272353924,0.00010826180446654,6.29835268727085e-05,8.18728334359945e-05,0,9.30364166050625e-05,0.000283783594066266,0.000154133215405973,0.000327498779914234
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000176722201139359,0.000133754475485725,0,0,0.000112204360648444,0,0,0.000242440071388895,0,0.00036524335597684,0,0,0,0,0.000128685256805398,0.000544418243624404,0.000353288895241436,0,0,0,0,0.000219852567258626,0,0,0.000927588038979863,0,0.000460659566439971,0.000519540702365009,0,0,0,0.00012584629541614,0.000586341469957265,0,0,0,0,0.000379749338219227,0.000124557279875433,0,0.000359949325844005,0.000111992754731028,0,0.000286925914666687,0.000131077893501223,0,0.000119419346023542,0.000172134804103792,0,0.000389559091709898,0.000183806099542343,0.000269217900778071,0,0.000151408370760585,0.000276009482728014,0,0,0.000413998065550756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000223872780249948,0,0,0,0,0,0,0,0,0,0.000188355645220706,0.000290068660529618,0.000177287862577571,0.000400927139271428,0,0.000232540572662432,0.000330196274606891,0,0,0,0.000508587462787658,0,0.000780066888346189,0,0.000305829857996652,0,0,0,0,0.000357601832420006,0.000461711097930879,0.00026472199396489,0.000185191993901101,0.000206523727505669,0.000168805699752937,0.000232220449745502,0,0,0.000286473597166097,0,0.000323717241568434,0.000955682198314948,0,0.000541230686858963
"3",0,0,0,0,0,0,0,0,0.000149721120802587,0,0,0,0.000329895564342563,0,0.000583361663297191,0.000154557877530164,0,0.000417667647336916,0.000255202022506414,0,0.000230863657250796,0.00045866098314789,0,0.000204307233444118,0.000206797936954786,0,0.000230107750403961,0.000215983016330905,0,0.000668262778709583,0.000255877578587726,0,0,0,0.000447682002158658,0.00101977466695463,0.000622424062879251,0,0.000471246769979571,0,0.000596455775466787,0.0006920693651892,0,0.000237464815797889,0,0.000288095767657137,0.000557814731633313,0,0,0.000263125556889393,0,0.000727402295947788,0,0,0.000583830541266176,0.000106054815810264,0,0.000244879467643388,0.000145405683103228,0.00023816013007164,5.52745226713651e-05,0.00050610983302581,5.53407454305746e-05,0.000597583000137806,9.28230924404198e-05,0.000291864417392873,0,0,0.000430407704773333,0,0,0.00113381020450842,0,0,0,0,0,0,0,0,0.000111788934697724,0,0,0.000310709712423023,0,0,0,0,0,0,0,0,0,0,9.68024551621112e-05,0,0.00014806674820365,0,0.000844826110442208,0.000115044588833964,0.000602337386905521,0.000444995240532171,0.000312663662867042,0.00103271489367604,0.000376337134824159,0.000230167814316267,0.000284255393178246,0.000247788617143316,0.000382064701366134,0.000250644920581447,0.00138629321693204,0.000177378171646058,0.000177941884059599,0,0.000377253585951233,0,0,0.000208027105380812,0.000261855465875406,0.000156287736182038,0.00042492713200015,0.000123182436176292,0,0.00078032137933506,0,0,0.000168724389204405,0,0.000367800535599948,0.000518232616675251,0.000153060106977139,0.0008845327017384
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.78765740375666e-05,0,8.76586181786875e-05,8.85118307680112e-05,0,0,9.16619313769579e-05,0,0,9.65601642399828e-05,0,0,0,0,0,0,0,0,0,8.96844591730011e-05,0,0,8.56505826432573e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.95935030059087e-05,0,6.41630118200966e-05,0,0,0,0,0,0.000439880038097096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000185351447149895,0,0,0.000374018203312693,0.000190068058941388,0,0,0,0.000459689155126042,0,0,0.000483666744005712,0,0,0,0.000498382699918518,0,0,0,0,0,0,0.000349956612194506,0.000446697041501409,0,0.000367676197117986,0.000204406049278326,0,0,0,0,0.000281924191567221,0,0,0.000906140829039172,0,0
"7",0,0.000104322250423062,0,0.000109992500095006,0.000114526758929784,0.000108844765145345,0.000108272776241623,0,0,0,0,0,0,0,0,0,0,0.000183052432082048,0,0,0.000121476332689701,0.000108525991524026,0.000193385487487919,0.000105440887355448,0,0,0,0.000111989364163616,0.000269327263504375,0,0.000213435088135266,0,0,0.000232922688817923,0.000218597608294542,0,0,0,0.000332898532907508,0,0.000407720009806817,0.000227803949799053,0,0,0,0.000596032058795351,0,0,0,0,0.000205810551831171,0,0,0,0.000528675252337893,0,0,0,5.12710257901594e-05,8.25156634027521e-05,0,7.21302369062754e-05,0,0.000261445290218648,0,0.000130682304154572,0,0,0,0,0,0.000542196791425457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.23401906952236e-05,0,0,0,0,0,0,0,0.000192515314418901,0.00026643256352477,0,0,0.000192166354029369,0,0.000630601440248704,0,0,0.000247096987141714,0,0,0,0,0,0,0.00034829622960549,0.000447027231176623,0.00012829252947897,0.000181773722830891,0.000100336295120555,0.000165929657116239,0.000227374123027184,0,0,0.000138756302880521,0,0.000156311545994884,0.000453826486202307,0.000125831530559829,0
"8",6.287925973287e-05,5.8255420668964e-05,0,6.05214076109692e-05,6.26764713983625e-05,0,5.97209179498601e-05,0,0,9.12259727713999e-05,0,6.76268471609188e-05,0,6.5759887921411e-05,9.13796761899056e-05,0.0001500623999109,7.46652681899747e-05,9.79456526625706e-05,5.56713495659104e-05,6.61427393971078e-05,7.1066356830001e-05,6.5643808553975e-05,5.37835648907011e-05,0.000691988136191741,6.59200966441614e-05,6.35610237609002e-05,7.2844295364045e-05,0.000139015265785985,7.08844620730606e-05,8.95148867052308e-05,8.3319780973064e-05,0,0,0.000171930853412051,0.000236075864167579,0,8.32784997026317e-05,0,0.000340243943484444,0,0,0.000317543630160348,0,7.30786885236369e-05,0,0.000298981206264082,0.000273985294369476,0,0,8.08083928005122e-05,0.000290254918865361,0.000174004255273778,0,0,0.000282793264051598,4.08352254933682e-05,0,4.93099404850502e-05,2.98247821033714e-05,0.000119105886437055,0,4.09285914354473e-05,6.9771455463633e-05,0.000198805876678552,0,0.000118385925098416,0,6.21032200679093e-05,9.77134790889247e-05,6.92913288958762e-05,0.000154017088265278,0.000375130594556164,0,4.89610140405059e-05,0,0,0,0,0,0,6.94860495343955e-05,0,0,0,7.35836012666664e-05,0,0,0,0,0,0,0,0,6.66781919021478e-05,0,4.24401056435433e-05,0,0,0.0003377334664327,4.34371320391906e-05,8.93676667865909e-05,0.000228237108893911,0.000145479669385558,0.00011981235339213,0.00017764565120769,9.85130942949251e-05,0,0.000107072910557708,8.119379297412e-05,0.000109312898902445,0.00046642065594571,7.26214536503599e-05,0.000165457956443534,0,0,0,0,8.69718133348407e-05,0.000118465990621996,6.24182286210549e-05,9.34805303932223e-05,0.000169323484594974,8.41063327271606e-05,0,0,0,0.000241251236090916,0,7.87705005585914e-05,0.000269647809370868,6.15053664586719e-05,0
"9",0.000275986713186184,4.17466935010238e-05,4.07166158407442e-05,0.000266444470547907,0,4.28792976922977e-05,0.000118845505534101,4.42243875862098e-05,3.98698263118507e-05,0.0001006262645655,0,4.09716141082569e-05,8.55934767532024e-05,0.00018114947162613,0.000536363106334901,0.000183243758047469,4.45946090744358e-05,5.62832708868818e-05,0.00018437438532678,0.000306048575938588,0.00040638481610238,0.000341496618998012,0.000149683822853949,0.000343359755137223,0.000346307347300385,4.77750186615944e-05,5.42352673501492e-05,0.000357314842115713,0.000236871058972172,0.000623933526121524,0.000177458888664685,0.000191298221956967,9.65020450416002e-05,0.000287900448658876,0.000498045605635958,0.000940801161442669,0.000723854660324118,7.8865814280331e-05,0.000439959668867957,0,0.00100890250481213,0.00132613867050483,0.000134264213759131,0.000353908382144059,0.000188010257009471,0.000147463907899526,0.000562477603113814,0.00016961225492482,0.000160413241140158,0.000178771272900632,0.000174847704419065,0.000253684025803104,0.000186241863987324,0.000620911439656614,0.000270677411226887,8.74673507173867e-05,0,0.000250340933405408,0.000108979391891067,0.000147250584889479,3.08237737891509e-05,0.000117205746981967,3.11616514839634e-05,0.000192233895285915,0.0002282658698575,0.000161825782702477,4.37275419009183e-05,0.000161487978333909,0.000226033711005668,0.000195125518597282,0.00027178385340538,0.0008290900635593,0.000267646099798208,0.000133892445719159,0,0.000207374970608073,0,0,0,0,0.000545311314357069,0,0,0.000155849015810493,0.000264974096083427,0,0.000249513335694926,0.000165187479002031,6.47221738130044e-05,3.93523353783479e-05,0.000177329658231955,0.000331234589939908,0.000180326955742243,0.000101475457962013,0.000283614296281114,0.000383577090368931,0.000146468889287171,0,0.000646930694882409,0.000115177209433561,0.000477262094155146,0.000420026550906212,0.000438459829682138,0.000441922845488846,0.000189442836326819,0.000224944833411749,7.59870055404386e-05,0.000513916607845831,0.000236586881506992,0.000465063007671616,0.000969321704148509,9.17995859050257e-05,0.000215005417453181,0.00014920128235287,9.98014936232943e-05,0.000532153468150309,0.000246143154594401,0.000478874692961108,0.000593776358632563,0.000429994344807703,0.000404677923603895,0.00020652681897443,0.000102639377476943,0.000839921284052186,5.88993409923188e-05,3.64996176748308e-05,0.000391226770347219,0,0.000592568036454498,0.000255996365039661,0.000186323840679548,0.000496808439789511
"10",4.15235848983122e-05,3.81796185779544e-05,0,3.98774328263817e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000206884094412192,4.1773941285967e-05,3.35989909682817e-05,8.73782818746308e-05,4.16482270826559e-05,8.49641317237974e-05,4.62569603590069e-05,9.20432447992962e-05,9.58682535649336e-05,0.000246393159339016,7.43445345434215e-05,9.70198397301897e-05,0,0.00016397855848855,0.000193170516992503,0.000226992873246814,7.49283861913384e-05,0,0.000292531523083299,0,0.000176434533357236,0.000283284804317326,3.43475457020353e-05,3.27671799184451e-05,0,4.98020175667658e-05,0.000135711182550638,0.000105231215470876,8.22054526374134e-05,0.000148276842811564,0.000108035202863558,0.000168423695557156,0,6.6391034076189e-05,0.000130533657372623,8.39743761058122e-05,0,1.70635230918089e-05,5.35257213820946e-05,5.34788877594139e-05,0,5.03302184059677e-05,0,0.000116530976083518,0,5.88232536963995e-05,0,0,0,0,0,0.00026220180954271,0,0,0,0,0,0,0,0,6.48642330426259e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.93836331627151e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000115268521177073,0,0,0,0,0,0,0,0,0,0,8.98489984416589e-05,0,0,0,0,0,0,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0,0.000141344414805182,0.000192770281023216,0,0,0,0,0.000193668522486424,0.000456547160738221,0,0,0.000122576371294179,0,0.000465509670142535,0.000282917048538695,0.000113488168353488,0.0002810762222649,0.000430959491536043,0,0,0.000144446042061477,0.000149819911154558,0.000707308557654465,0.000511747446030256,0.000565095561569503,0,0.000561977009559752,0.000387979293695974,0.000962839307440066,0.000518665789838907,0.000140393959948594,0.000824317262539516,0,0.000747003702520431,0.000407312968186981,0.000232232845995103,0.000460151674015854,0,0,0.00084438061124332,0.00023073838417457,0,0.000242833253127552,0.000113245477611321,0.000582642695724982,0.000379734636444122,0,0.000417238488637395,0.000114105574864321,0,0.000172925972565058,8.3577574335266e-05,0.000201226053091208,5.92596782080499e-05,0.000244747234221282,5.94962102643585e-05,0.000457844666663271,0.000293568153127128,0.000226649128842873,0,0.000245725847388947,0.000233978360452097,0.000247983669622061,0.000400834099994995,0.000942618774210218,0.000226745260008446,0.000232510052668821,0,0,0,0,0,0,0.000105992384850174,0,0,0,0,0,0,0.000308119473195602,0,0,4.96865394353883e-05,9.4298598713134e-05,9.39120167581027e-05,0,0.00043408518478297,9.91640519297527e-05,0.000133898618708272,0,0.000640250690219105,0.000208352320438206,0.000395879115019549,0.000440598598153434,0.000298587232343817,0.000253624359912367,0,0.00043695326710282,0.00026719490207202,0.000472130174899704,0.000179015418652575,0.000233672151273058,0.00086045070657226,0.000331191768264442,0.000334798522773792,0,0,0.000216168352890115,0.000187911288254213,0.00143415978006369,0.000507528396646548,0.000141010272038367,0,0.00022518891591288,0.00018364179067234,0.000519479825024534,0,0,0.000476441223662358,0,0.000172829041209962,0.000515861935948935,0.000138413071846925,0.000595263152167295
"12",6.21166289990857e-05,5.72753254405852e-05,5.6172675172558e-05,5.97002074765133e-05,0,5.92756231378172e-05,0,6.07749672395393e-05,4.81358275660706e-05,0.000118671334181326,0,4.93890416128434e-05,0.00010161733323488,9.18083073608258e-05,0.000323294038545013,0.000212439001595599,5.36728619804092e-05,6.74569641324935e-05,0,6.26461362446956e-05,0.000458763245542405,0.000130313674919691,5.0555009029856e-05,0.000341922784358286,0.000130239987312887,6.00687831304716e-05,6.91839251705186e-05,0.000135441881244377,0.000373885039918052,0.000264492793562048,0.00023778945960733,0.000268497765995238,0.000124703129308489,0.000414736313403541,0.000320328887108662,0.000389866041442358,0.000449810099452962,0.000100846169646662,0.000697567210444191,0,0.000300153437648552,0.00058761253741832,0.000183753819765734,0.000167193549019562,0.000257399950071895,0.000205417890015823,0.000278964319508449,0.000233126867466755,0.000222112663247176,0.00024658053996667,0.000241613796310932,0.000367284488512226,0.00016176878469803,0.000219056585882418,0.00014649285443444,6.35507004604616e-05,0,0.00014710588041252,6.21604733203898e-05,9.12248564667324e-05,4.34661633340888e-05,0.000119824497783569,1.16511451958901e-05,0.00020242886055026,0.000168412820171364,0.000132634078781769,2.99742439624282e-05,9.21954514607106e-05,0.000165102897076912,0.000109456057369769,0.000178100540512972,0.000560374230480415,0.000145878182295154,0.000121705827616551,0,5.52643279541827e-05,0,0,0,0,8.16886491236599e-05,0,0,3.98729410066139e-05,3.61553489337504e-05,0,3.3634780490121e-05,0.000143433795801536,3.82213858837947e-05,2.5055146657578e-05,0.000125171259650095,0.000157732049001817,0.000157133909195322,5.60475168026712e-05,0.000229877923372423,0.0005277852775595,0.000175129829463789,0,7.31014599945603e-05,3.96790549844383e-05,0.000241269701917244,0.00031780806813889,0.000271814382378848,0.000309992062199135,0.000225600398751677,7.61148317025371e-05,9.27382436918778e-05,0.000413256059631932,0.000280127156017972,0.000353350204459136,0.000482299014055449,0.000111380520900733,0.000254361064783786,5.09892870639205e-05,0.00012097208872455,7.66911065458775e-05,0.000290840090368664,6.93235887759827e-05,0.000298071430930097,0.000142770268525114,0.00013441795456201,0.000244769089981079,0.000124051738768019,0.000378275099368386,7.2387718069398e-05,4.54136575968911e-05,5.69517740566239e-05,0,0.000268978910786134,0.000300993896288451,0.000221562022545405,0.00034703921517457
